"page_id","phrase_id","source_lane","pageKind","relationship_id","source_kind","source_id","target_kind","target_id","relation_type","display_label","reason","sort_order","generated_relation_source_path","source_path","proposed_target_page_id","proposed_relation_type","proposed_display_label","proposed_reason","review_status","import_approval","approved_by","approved_at"
"viet-phrase-acknowledge-co","acknowledge-co","catalog-promoted","phrase","relation:3492f5b79063d237","phrase_page","viet-phrase-acknowledge-co","phrase_page","viet-phrase-hotel-1","next_step_after","Explore next","Authored Explore next row links these phrase pages.","0","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-co.json","","","","","not_started","","",""
"viet-phrase-acknowledge-co","acknowledge-co","catalog-promoted","phrase","relation:b8239b08097d6963","phrase_page","viet-phrase-acknowledge-co","phrase_page","viet-phrase-polite-3","see_also","Answer contrast","Authored Answer contrast row links these phrase pages.","0","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-co.json","","","","","not_started","","",""
"viet-phrase-acknowledge-co","acknowledge-co","catalog-promoted","phrase","relation:a87b6a57aef3e896","phrase_page","viet-phrase-acknowledge-co","phrase_page","viet-phrase-food-5","next_step_after","Explore next","Authored Explore next row links these phrase pages.","1","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-co.json","","","","","not_started","","",""
"viet-phrase-acknowledge-co","acknowledge-co","catalog-promoted","phrase","relation:d7ab5c0525610bc8","phrase_page","viet-phrase-acknowledge-co","phrase_page","viet-phrase-v500-poli-basi-yes","see_also","Answer contrast","Authored Answer contrast row links these phrase pages.","1","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-co.json","","","","","not_started","","",""
"viet-phrase-acknowledge-co","acknowledge-co","catalog-promoted","phrase","relation:a84bf0713b31a790","phrase_page","viet-phrase-acknowledge-co","phrase_page","viet-phrase-acknowledge-khong","see_also","Answer contrast","Authored Answer contrast row links these phrase pages.","2","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-co.json","","","","","not_started","","",""
"viet-phrase-acknowledge-co","acknowledge-co","catalog-promoted","phrase","relation:f66be2e66895a499","phrase_page","viet-phrase-acknowledge-co","phrase_page","viet-phrase-phone-4","next_step_after","Explore next","Authored Explore next row links these phrase pages.","2","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-co.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-anh","acknowledge-da-chao-anh","catalog-promoted","phrase","relation:65dafcb442eba610","phrase_page","viet-phrase-acknowledge-da-chao-anh","phrase_page","viet-phrase-acknowledge-da-chao-chi","see_also","Relationship swaps","Authored Relationship swaps row links these phrase pages.","0","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-anh.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-anh","acknowledge-da-chao-anh","catalog-promoted","phrase","relation:cc848223dcabc31c","phrase_page","viet-phrase-acknowledge-da-chao-anh","phrase_page","viet-phrase-polite-2","next_step_after","Explore next","Authored Explore next row links these phrase pages.","0","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-anh.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-anh","acknowledge-da-chao-anh","catalog-promoted","phrase","relation:7718053022c3e839","phrase_page","viet-phrase-acknowledge-da-chao-anh","phrase_page","viet-phrase-repair-english-help","next_step_after","Explore next","Authored Explore next row links these phrase pages.","1","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-anh.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-anh","acknowledge-da-chao-anh","catalog-promoted","phrase","relation:a7416a609da02fd7","phrase_page","viet-phrase-acknowledge-da-chao-anh","phrase_page","viet-phrase-acknowledge-da-chao-chu","see_also","Relationship swaps","Authored Relationship swaps row links these phrase pages.","1","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-anh.json","","","","","not_started","","",""
